start_time,end_time,consumption,type
2023-01-22 21:45:00-05:00,2023-01-22 22:00:00-05:00,1.803,ELEC
2023-01-22 22:00:00-05:00,2023-01-22 22:15:00-05:00,0.987,ELEC
2023-01-22 22:15:00-05:00,2023-01-22 22:30:00-05:00,0.765,ELEC
2023-01-22 22:30:00-05:00,2023-01-22 22:45:00-05:00,1.401,ELEC
2023-01-22 22:45:00-05:00,2023-01-22 23:00:00-05:00,0.354,ELEC
2023-01-22 23:00:00-05:00,2023-01-22 23:15:00-05:00,1.143,ELEC
2023-01-22 23:15:00-05:00,2023-01-22 23:30:00-05:00,0.648,ELEC
2023-01-22 23:30:00-05:00,2023-01-22 23:45:00-05:00,0.744,ELEC
2023-01-22 23:45:00-05:00,2023-01-23 00:00:00-05:00,1.596,ELEC
2023-01-23 00:00:00-05:00,2023-01-23 00:15:00-05:00,0.444,ELEC
2023-01-23 00:15:00-05:00,2023-01-23 00:30:00-05:00,0.798,ELEC
2023-01-23 00:30:00-05:00,2023-01-23 00:45:00-05:00,0.942,ELEC
2023-01-23 00:45:00-05:00,2023-01-23 01:00:00-05:00,0.474,ELEC
2023-01-23 01:00:00-05:00,2023-01-23 01:15:00-05:00,1.449,ELEC
2023-01-23 01:15:00-05:00,2023-01-23 01:30:00-05:00,0.486,ELEC
2023-01-23 01:30:00-05:00,2023-01-23 01:45:00-05:00,1.188,ELEC
2023-01-23 01:45:00-05:00,2023-01-23 02:00:00-05:00,0.81,ELEC
2023-01-23 02:00:00-05:00,2023-01-23 02:15:00-05:00,0.759,ELEC
2023-01-23 02:15:00-05:00,2023-01-23 02:30:00-05:00,1.134,ELEC
2023-01-23 02:30:00-05:00,2023-01-23 02:45:00-05:00,0.423,ELEC
2023-01-23 02:45:00-05:00,2023-01-23 03:00:00-05:00,1.524,ELEC
2023-01-23 03:00:00-05:00,2023-01-23 03:15:00-05:00,0.696,ELEC
2023-01-23 03:15:00-05:00,2023-01-23 03:30:00-05:00,1.032,ELEC
2023-01-23 03:30:00-05:00,2023-01-23 03:45:00-05:00,1.527,ELEC
2023-01-23 03:45:00-05:00,2023-01-23 04:00:00-05:00,0.522,ELEC
2023-01-23 04:00:00-05:00,2023-01-23 04:15:00-05:00,1.5,ELEC
2023-01-23 04:15:00-05:00,2023-01-23 04:30:00-05:00,0.534,ELEC
2023-01-23 04:30:00-05:00,2023-01-23 04:45:00-05:00,1.02,ELEC
2023-01-23 04:45:00-05:00,2023-01-23 05:00:00-05:00,1.044,ELEC
2023-01-23 05:00:00-05:00,2023-01-23 05:15:00-05:00,0.486,ELEC
2023-01-23 05:15:00-05:00,2023-01-23 05:30:00-05:00,1.737,ELEC
2023-01-23 05:30:00-05:00,2023-01-23 05:45:00-05:00,0.753,ELEC
2023-01-23 05:45:00-05:00,2023-01-23 06:00:00-05:00,1.479,ELEC
2023-01-23 06:00:00-05:00,2023-01-23 06:15:00-05:00,2.058,ELEC
2023-01-23 06:15:00-05:00,2023-01-23 06:30:00-05:00,1.851,ELEC
2023-01-23 06:30:00-05:00,2023-01-23 06:45:00-05:00,3.033,ELEC
2023-01-23 06:45:00-05:00,2023-01-23 07:00:00-05:00,2.055,ELEC
2023-01-23 07:00:00-05:00,2023-01-23 07:15:00-05:00,2.964,ELEC
2023-01-23 07:15:00-05:00,2023-01-23 07:30:00-05:00,2.265,ELEC
2023-01-23 07:30:00-05:00,2023-01-23 07:45:00-05:00,2.631,ELEC
2023-01-23 07:45:00-05:00,2023-01-23 08:00:00-05:00,2.244,ELEC
2023-01-23 08:00:00-05:00,2023-01-23 08:15:00-05:00,1.983,ELEC
2023-01-23 08:15:00-05:00,2023-01-23 08:30:00-05:00,1.827,ELEC
2023-01-23 08:30:00-05:00,2023-01-23 08:45:00-05:00,2.466,ELEC
