,Type,Date,Start,End,Usage,Month,Price/kWh,Cost/15min,Summer?,Period
87,Electric usage,06/28/2024,21:45,22:00,0.195,Jun 2024,$0.335,$0.065,Yes,Summer Peak
88,Electric usage,06/28/2024,22:00,22:15,0.183,Jun 2024,$0.335,$0.061,Yes,Summer Peak
89,Electric usage,06/28/2024,22:15,22:30,0.192,Jun 2024,$0.335,$0.064,Yes,Summer Peak
90,Electric usage,06/28/2024,22:30,22:45,0.186,Jun 2024,$0.335,$0.062,Yes,Summer Peak
91,Electric usage,06/28/2024,22:45,23:00,0.162,Jun 2024,$0.335,$0.054,Yes,Summer Peak
92,Electric usage,06/28/2024,23:00,23:15,0.168,Jun 2024,$0.335,$0.056,Yes,Summer Peak
93,Electric usage,06/28/2024,23:15,23:30,0.201,Jun 2024,$0.335,$0.067,Yes,Summer Peak
94,Electric usage,06/28/2024,23:30,23:45,0.216,Jun 2024,$0.335,$0.072,Yes,Summer Peak
95,Electric usage,06/28/2024,23:45,00:00,0.201,Jun 2024,$0.335,$0.067,Yes,Summer Peak
96,Electric usage,06/29/2024,00:00,00:15,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
97,Electric usage,06/29/2024,00:15,00:30,0.192,Jun 2024,$0.335,$0.064,Yes,Non-Peak
98,Electric usage,06/29/2024,00:30,00:45,0.171,Jun 2024,$0.335,$0.057,Yes,Non-Peak
99,Electric usage,06/29/2024,00:45,01:00,0.168,Jun 2024,$0.335,$0.056,Yes,Non-Peak
100,Electric usage,06/29/2024,01:00,01:15,0.168,Jun 2024,$0.335,$0.056,Yes,Non-Peak
101,Electric usage,06/29/2024,01:15,01:30,0.201,Jun 2024,$0.335,$0.067,Yes,Non-Peak
102,Electric usage,06/29/2024,01:30,01:45,0.204,Jun 2024,$0.335,$0.068,Yes,Non-Peak
103,Electric usage,06/29/2024,01:45,02:00,0.195,Jun 2024,$0.335,$0.065,Yes,Non-Peak
104,Electric usage,06/29/2024,02:00,02:15,0.18,Jun 2024,$0.335,$0.060,Yes,Non-Peak
105,Electric usage,06/29/2024,02:15,02:30,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
106,Electric usage,06/29/2024,02:30,02:45,0.198,Jun 2024,$0.335,$0.066,Yes,Non-Peak
107,Electric usage,06/29/2024,02:45,03:00,0.174,Jun 2024,$0.335,$0.058,Yes,Non-Peak
108,Electric usage,06/29/2024,03:00,03:15,0.201,Jun 2024,$0.335,$0.067,Yes,Non-Peak
109,Electric usage,06/29/2024,03:15,03:30,0.195,Jun 2024,$0.335,$0.065,Yes,Non-Peak
110,Electric usage,06/29/2024,03:30,03:45,0.213,Jun 2024,$0.335,$0.071,Yes,Non-Peak
111,Electric usage,06/29/2024,03:45,04:00,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
112,Electric usage,06/29/2024,04:00,04:15,0.162,Jun 2024,$0.335,$0.054,Yes,Non-Peak
113,Electric usage,06/29/2024,04:15,04:30,0.18,Jun 2024,$0.335,$0.060,Yes,Non-Peak
114,Electric usage,06/29/2024,04:30,04:45,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
115,Electric usage,06/29/2024,04:45,05:00,0.168,Jun 2024,$0.335,$0.056,Yes,Non-Peak
116,Electric usage,06/29/2024,05:00,05:15,0.204,Jun 2024,$0.335,$0.068,Yes,Non-Peak
117,Electric usage,06/29/2024,05:15,05:30,0.219,Jun 2024,$0.335,$0.073,Yes,Non-Peak
118,Electric usage,06/29/2024,05:30,05:45,0.195,Jun 2024,$0.335,$0.065,Yes,Non-Peak
119,Electric usage,06/29/2024,05:45,06:00,0.162,Jun 2024,$0.335,$0.054,Yes,Non-Peak
120,Electric usage,06/29/2024,06:00,06:15,0.165,Jun 2024,$0.335,$0.055,Yes,Non-Peak
121,Electric usage,06/29/2024,06:15,06:30,0.171,Jun 2024,$0.335,$0.057,Yes,Non-Peak
122,Electric usage,06/29/2024,06:30,06:45,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
123,Electric usage,06/29/2024,06:45,07:00,0.195,Jun 2024,$0.335,$0.065,Yes,Non-Peak
124,Electric usage,06/29/2024,07:00,07:15,0.18,Jun 2024,$0.335,$0.060,Yes,Non-Peak
125,Electric usage,06/29/2024,07:15,07:30,0.192,Jun 2024,$0.335,$0.064,Yes,Non-Peak
126,Electric usage,06/29/2024,07:30,07:45,0.204,Jun 2024,$0.335,$0.068,Yes,Non-Peak
127,Electric usage,06/29/2024,07:45,08:00,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
128,Electric usage,06/29/2024,08:00,08:15,0.594,Jun 2024,$0.335,$0.199,Yes,Summer Peak
129,Electric usage,06/29/2024,08:15,08:30,0.258,Jun 2024,$0.335,$0.086,Yes,Summer Peak
130,Electric usage,06/29/2024,08:30,08:45,0.291,Jun 2024,$0.335,$0.097,Yes,Summer Peak
131,Electric usage,06/29/2024,08:45,09:00,0.258,Jun 2024,$0.335,$0.086,Yes,Summer Peak
132,Electric usage,06/29/2024,09:00,09:15,0.198,Jun 2024,$0.335,$0.066,Yes,Summer Peak
133,Electric usage,06/29/2024,09:15,09:30,0.174,Jun 2024,$0.335,$0.058,Yes,Summer Peak
134,Electric usage,06/29/2024,09:30,09:45,0.192,Jun 2024,$0.335,$0.064,Yes,Summer Peak
135,Electric usage,06/29/2024,09:45,10:00,0.18,Jun 2024,$0.335,$0.060,Yes,Summer Peak
136,Electric usage,06/29/2024,10:00,10:15,0.165,Jun 2024,$0.335,$0.055,Yes,Summer Peak
137,Electric usage,06/29/2024,10:15,10:30,0.177,Jun 2024,$0.335,$0.059,Yes,Summer Peak
138,Electric usage,06/29/2024,10:30,10:45,0.222,Jun 2024,$0.335,$0.074,Yes,Summer Peak
139,Electric usage,06/29/2024,10:45,11:00,0.192,Jun 2024,$0.335,$0.064,Yes,Summer Peak
140,Electric usage,06/29/2024,11:00,11:15,0.183,Jun 2024,$0.335,$0.061,Yes,Summer Peak
141,Electric usage,06/29/2024,11:15,11:30,0.168,Jun 2024,$0.335,$0.056,Yes,Summer Peak
142,Electric usage,06/29/2024,11:30,11:45,0.171,Jun 2024,$0.335,$0.057,Yes,Summer Peak
143,Electric usage,06/29/2024,11:45,12:00,0.177,Jun 2024,$0.335,$0.059,Yes,Summer Peak
144,Electric usage,06/29/2024,12:00,12:15,0.162,Jun 2024,$0.335,$0.054,Yes,Summer Peak
145,Electric usage,06/29/2024,12:15,12:30,0.174,Jun 2024,$0.335,$0.058,Yes,Summer Peak
146,Electric usage,06/29/2024,12:30,12:45,0.198,Jun 2024,$0.335,$0.066,Yes,Summer Peak
147,Electric usage,06/29/2024,12:45,13:00,0.222,Jun 2024,$0.335,$0.074,Yes,Summer Peak
148,Electric usage,06/29/2024,13:00,13:15,0.186,Jun 2024,$0.335,$0.062,Yes,Summer Peak
149,Electric usage,06/29/2024,13:15,13:30,0.168,Jun 2024,$0.335,$0.056,Yes,Summer Peak
150,Electric usage,06/29/2024,13:30,13:45,0.174,Jun 2024,$0.335,$0.058,Yes,Summer Peak
151,Electric usage,06/29/2024,13:45,14:00,0.18,Jun 2024,$0.335,$0.060,Yes,Summer Peak
152,Electric usage,06/29/2024,14:00,14:15,0.174,Jun 2024,$0.335,$0.058,Yes,Summer Peak
153,Electric usage,06/29/2024,14:15,14:30,0.183,Jun 2024,$0.335,$0.061,Yes,Summer Peak
154,Electric usage,06/29/2024,14:30,14:45,0.192,Jun 2024,$0.335,$0.064,Yes,Summer Peak
155,Electric usage,06/29/2024,14:45,15:00,0.201,Jun 2024,$0.335,$0.067,Yes,Summer Peak
156,Electric usage,06/29/2024,15:00,15:15,0.171,Jun 2024,$0.335,$0.057,Yes,Summer Peak
157,Electric usage,06/29/2024,15:15,15:30,0.156,Jun 2024,$0.335,$0.052,Yes,Summer Peak
158,Electric usage,06/29/2024,15:30,15:45,0.183,Jun 2024,$0.335,$0.061,Yes,Summer Peak
159,Electric usage,06/29/2024,15:45,16:00,0.201,Jun 2024,$0.335,$0.067,Yes,Summer Peak
160,Electric usage,06/29/2024,16:00,16:15,0.195,Jun 2024,$0.335,$0.065,Yes,Summer Peak
161,Electric usage,06/29/2024,16:15,16:30,0.18,Jun 2024,$0.335,$0.060,Yes,Summer Peak
162,Electric usage,06/29/2024,16:30,16:45,0.198,Jun 2024,$0.335,$0.066,Yes,Summer Peak
163,Electric usage,06/29/2024,16:45,17:00,0.183,Jun 2024,$0.335,$0.061,Yes,Summer Peak
164,Electric usage,06/29/2024,17:00,17:15,0.174,Jun 2024,$0.335,$0.058,Yes,Summer Peak
165,Electric usage,06/29/2024,17:15,17:30,0.162,Jun 2024,$0.335,$0.054,Yes,Summer Peak
166,Electric usage,06/29/2024,17:30,17:45,0.18,Jun 2024,$0.335,$0.060,Yes,Summer Peak
167,Electric usage,06/29/2024,17:45,18:00,0.231,Jun 2024,$0.335,$0.077,Yes,Summer Peak
168,Electric usage,06/29/2024,18:00,18:15,0.21,Jun 2024,$0.335,$0.070,Yes,Summer Peak
169,Electric usage,06/29/2024,18:15,18:30,0.219,Jun 2024,$0.335,$0.073,Yes,Summer Peak
170,Electric usage,06/29/2024,18:30,18:45,0.219,Jun 2024,$0.335,$0.073,Yes,Summer Peak
171,Electric usage,06/29/2024,18:45,19:00,0.189,Jun 2024,$0.335,$0.063,Yes,Summer Peak
172,Electric usage,06/29/2024,19:00,19:15,0.183,Jun 2024,$0.335,$0.061,Yes,Summer Peak
173,Electric usage,06/29/2024,19:15,19:30,0.189,Jun 2024,$0.335,$0.063,Yes,Summer Peak
174,Electric usage,06/29/2024,19:30,19:45,0.174,Jun 2024,$0.335,$0.058,Yes,Summer Peak
175,Electric usage,06/29/2024,19:45,20:00,0.207,Jun 2024,$0.335,$0.069,Yes,Summer Peak
176,Electric usage,06/29/2024,20:00,20:15,0.222,Jun 2024,$0.335,$0.074,Yes,Summer Peak
177,Electric usage,06/29/2024,20:15,20:30,0.216,Jun 2024,$0.335,$0.072,Yes,Summer Peak
178,Electric usage,06/29/2024,20:30,20:45,0.18,Jun 2024,$0.335,$0.060,Yes,Summer Peak
179,Electric usage,06/29/2024,20:45,21:00,0.195,Jun 2024,$0.335,$0.065,Yes,Summer Peak
180,Electric usage,06/29/2024,21:00,21:15,0.225,Jun 2024,$0.335,$0.075,Yes,Summer Peak
181,Electric usage,06/29/2024,21:15,21:30,0.204,Jun 2024,$0.335,$0.068,Yes,Summer Peak
182,Electric usage,06/29/2024,21:30,21:45,0.198,Jun 2024,$0.335,$0.066,Yes,Summer Peak
183,Electric usage,06/29/2024,21:45,22:00,0.201,Jun 2024,$0.335,$0.067,Yes,Summer Peak
184,Electric usage,06/29/2024,22:00,22:15,0.216,Jun 2024,$0.335,$0.072,Yes,Summer Peak
185,Electric usage,06/29/2024,22:15,22:30,0.198,Jun 2024,$0.335,$0.066,Yes,Summer Peak
186,Electric usage,06/29/2024,22:30,22:45,0.18,Jun 2024,$0.335,$0.060,Yes,Summer Peak
187,Electric usage,06/29/2024,22:45,23:00,0.168,Jun 2024,$0.335,$0.056,Yes,Summer Peak
188,Electric usage,06/29/2024,23:00,23:15,0.204,Jun 2024,$0.335,$0.068,Yes,Summer Peak
189,Electric usage,06/29/2024,23:15,23:30,0.195,Jun 2024,$0.335,$0.065,Yes,Summer Peak
190,Electric usage,06/29/2024,23:30,23:45,0.198,Jun 2024,$0.335,$0.066,Yes,Summer Peak
191,Electric usage,06/29/2024,23:45,00:00,0.213,Jun 2024,$0.335,$0.071,Yes,Summer Peak
192,Electric usage,06/30/2024,00:00,00:15,0.222,Jun 2024,$0.335,$0.074,Yes,Non-Peak
193,Electric usage,06/30/2024,00:15,00:30,0.234,Jun 2024,$0.335,$0.078,Yes,Non-Peak
194,Electric usage,06/30/2024,00:30,00:45,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
195,Electric usage,06/30/2024,00:45,01:00,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
196,Electric usage,06/30/2024,01:00,01:15,0.192,Jun 2024,$0.335,$0.064,Yes,Non-Peak
197,Electric usage,06/30/2024,01:15,01:30,0.201,Jun 2024,$0.335,$0.067,Yes,Non-Peak
198,Electric usage,06/30/2024,01:30,01:45,0.162,Jun 2024,$0.335,$0.054,Yes,Non-Peak
199,Electric usage,06/30/2024,01:45,02:00,0.159,Jun 2024,$0.335,$0.053,Yes,Non-Peak
200,Electric usage,06/30/2024,02:00,02:15,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
201,Electric usage,06/30/2024,02:15,02:30,0.207,Jun 2024,$0.335,$0.069,Yes,Non-Peak
202,Electric usage,06/30/2024,02:30,02:45,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
203,Electric usage,06/30/2024,02:45,03:00,0.195,Jun 2024,$0.335,$0.065,Yes,Non-Peak
204,Electric usage,06/30/2024,03:00,03:15,0.207,Jun 2024,$0.335,$0.069,Yes,Non-Peak
205,Electric usage,06/30/2024,03:15,03:30,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
206,Electric usage,06/30/2024,03:30,03:45,0.171,Jun 2024,$0.335,$0.057,Yes,Non-Peak
207,Electric usage,06/30/2024,03:45,04:00,0.168,Jun 2024,$0.335,$0.056,Yes,Non-Peak
208,Electric usage,06/30/2024,04:00,04:15,0.18,Jun 2024,$0.335,$0.060,Yes,Non-Peak
209,Electric usage,06/30/2024,04:15,04:30,0.204,Jun 2024,$0.335,$0.068,Yes,Non-Peak
210,Electric usage,06/30/2024,04:30,04:45,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
211,Electric usage,06/30/2024,04:45,05:00,0.204,Jun 2024,$0.335,$0.068,Yes,Non-Peak
212,Electric usage,06/30/2024,05:00,05:15,0.306,Jun 2024,$0.335,$0.103,Yes,Non-Peak
213,Electric usage,06/30/2024,05:15,05:30,0.285,Jun 2024,$0.335,$0.095,Yes,Non-Peak
