,start_time,end_time,consumption,type
94,2023-12-16 23:30:00-05:00,2023-12-16 23:45:00-05:00,0.405,ELEC
95,2023-12-16 23:45:00-05:00,2023-12-17 00:00:00-05:00,0.462,ELEC
96,2023-12-17 00:00:00-05:00,2023-12-17 00:15:00-05:00,0.495,ELEC
97,2023-12-17 00:15:00-05:00,2023-12-17 00:30:00-05:00,0.519,ELEC
98,2023-12-17 00:30:00-05:00,2023-12-17 00:45:00-05:00,0.444,ELEC
99,2023-12-17 00:45:00-05:00,2023-12-17 01:00:00-05:00,0.465,ELEC
100,2023-12-17 01:00:00-05:00,2023-12-17 01:15:00-05:00,0.504,ELEC
101,2023-12-17 01:15:00-05:00,2023-12-17 01:30:00-05:00,0.57,ELEC
102,2023-12-17 01:30:00-05:00,2023-12-17 01:45:00-05:00,0.393,ELEC
103,2023-12-17 01:45:00-05:00,2023-12-17 02:00:00-05:00,0.525,ELEC
104,2023-12-17 02:00:00-05:00,2023-12-17 02:15:00-05:00,0.453,ELEC
105,2023-12-17 02:15:00-05:00,2023-12-17 02:30:00-05:00,0.516,ELEC
106,2023-12-17 02:30:00-05:00,2023-12-17 02:45:00-05:00,0.558,ELEC
107,2023-12-17 02:45:00-05:00,2023-12-17 03:00:00-05:00,0.492,ELEC
108,2023-12-17 03:00:00-05:00,2023-12-17 03:15:00-05:00,0.486,ELEC
109,2023-12-17 03:15:00-05:00,2023-12-17 03:30:00-05:00,0.579,ELEC
110,2023-12-17 03:30:00-05:00,2023-12-17 03:45:00-05:00,0.504,ELEC
111,2023-12-17 03:45:00-05:00,2023-12-17 04:00:00-05:00,0.486,ELEC
112,2023-12-17 04:00:00-05:00,2023-12-17 04:15:00-05:00,0.558,ELEC
113,2023-12-17 04:15:00-05:00,2023-12-17 04:30:00-05:00,0.534,ELEC
114,2023-12-17 04:30:00-05:00,2023-12-17 04:45:00-05:00,0.639,ELEC
115,2023-12-17 04:45:00-05:00,2023-12-17 05:00:00-05:00,0.531,ELEC
116,2023-12-17 05:00:00-05:00,2023-12-17 05:15:00-05:00,0.582,ELEC
117,2023-12-17 05:15:00-05:00,2023-12-17 05:30:00-05:00,1.413,ELEC
118,2023-12-17 05:30:00-05:00,2023-12-17 05:45:00-05:00,0.606,ELEC
119,2023-12-17 05:45:00-05:00,2023-12-17 06:00:00-05:00,0.654,ELEC
120,2023-12-17 06:00:00-05:00,2023-12-17 06:15:00-05:00,0.522,ELEC
121,2023-12-17 06:15:00-05:00,2023-12-17 06:30:00-05:00,0.546,ELEC
122,2023-12-17 06:30:00-05:00,2023-12-17 06:45:00-05:00,1.611,ELEC
123,2023-12-17 06:45:00-05:00,2023-12-17 07:00:00-05:00,1.416,ELEC
124,2023-12-17 07:00:00-05:00,2023-12-17 07:15:00-05:00,1.026,ELEC
125,2023-12-17 07:15:00-05:00,2023-12-17 07:30:00-05:00,0.987,ELEC
126,2023-12-17 07:30:00-05:00,2023-12-17 07:45:00-05:00,1.953,ELEC
127,2023-12-17 07:45:00-05:00,2023-12-17 08:00:00-05:00,1.389,ELEC
128,2023-12-17 08:00:00-05:00,2023-12-17 08:15:00-05:00,1.581,ELEC
129,2023-12-17 08:15:00-05:00,2023-12-17 08:30:00-05:00,1.647,ELEC
130,2023-12-17 08:30:00-05:00,2023-12-17 08:45:00-05:00,1.245,ELEC
131,2023-12-17 08:45:00-05:00,2023-12-17 09:00:00-05:00,1.953,ELEC
132,2023-12-17 09:00:00-05:00,2023-12-17 09:15:00-05:00,1.152,ELEC
133,2023-12-17 09:15:00-05:00,2023-12-17 09:30:00-05:00,1.38,ELEC
134,2023-12-17 09:30:00-05:00,2023-12-17 09:45:00-05:00,1.416,ELEC
135,2023-12-17 09:45:00-05:00,2023-12-17 10:00:00-05:00,1.224,ELEC
136,2023-12-17 10:00:00-05:00,2023-12-17 10:15:00-05:00,1.107,ELEC
137,2023-12-17 10:15:00-05:00,2023-12-17 10:30:00-05:00,2.139,ELEC
138,2023-12-17 10:30:00-05:00,2023-12-17 10:45:00-05:00,1.155,ELEC
139,2023-12-17 10:45:00-05:00,2023-12-17 11:00:00-05:00,1.29,ELEC
140,2023-12-17 11:00:00-05:00,2023-12-17 11:15:00-05:00,1.362,ELEC
